Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2018-08-28,28 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-29,29 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-30,30 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-08-31,31 Agt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-01,,,,,
2018-09-02,,,,,
2018-09-03,03 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-04,04 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-05,05 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-06,06 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-07,07 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-08,,,,,
2018-09-09,,,,,
2018-09-10,10 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-11,,,,,
2018-09-12,12 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,
2018-09-13,13 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-14,14 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-15,,,,,
2018-09-16,,,,,
2018-09-17,17 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-18,18 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-19,19 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-20,20 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-21,21 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-22,,,,,
2018-09-23,,,,,
2018-09-24,24 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-25,25 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-26,26 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-27,27 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-28,28 Sep 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-09-29,,,,,
2018-09-30,,,,,
2018-10-01,01 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-02,02 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-03,03 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-04,04 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-05,05 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-06,,,,,
2018-10-07,,,,,
2018-10-08,08 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-09,09 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-10,10 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-11,11 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-12,12 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-13,,,,,
2018-10-14,,,,,
2018-10-15,15 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-16,16 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-17,17 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-18,18 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-19,19 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-20,,,,,
2018-10-21,,,,,
2018-10-22,22 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-23,23 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-24,24 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-25,25 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-26,26 Okt 18,DI Yogyakarta,Beras Kualitas Medium II,11000.0,Rp0
2018-10-27,,,,,
2018-10-28,,,,,
