tanggal,harga_beras
2022-09-15,11400.0
2022-09-16,11400.0
2022-09-17,11400.0
2022-09-18,11400.0
2022-09-19,11400.0
2022-09-20,11400.0
2022-09-21,11400.0
2022-09-22,11400.0
2022-09-23,11400.0
2022-09-24,11400.0
2022-09-25,11400.0
2022-09-26,11400.0
2022-09-27,11400.0
2022-09-28,11400.0
2022-09-29,11400.0
2022-09-30,11400.0
2022-10-01,11400.0
2022-10-02,11400.0
2022-10-03,11400.0
2022-10-04,11400.0
2022-10-05,11400.0
2022-10-06,11400.0
2022-10-07,11400.0
2022-10-08,11400.0
2022-10-09,11400.0
2022-10-10,11400.0
2022-10-11,11400.0
2022-10-12,11400.0
2022-10-13,11400.0
2022-10-14,11400.0
2022-10-15,11400.0
2022-10-16,11400.0
2022-10-17,11400.0
2022-10-18,11400.0
2022-10-19,11400.0
2022-10-20,11400.0
2022-10-21,11400.0
2022-10-22,11400.0
2022-10-23,11400.0
2022-10-24,11400.0
2022-10-25,11400.0
2022-10-26,11400.0
2022-10-27,11400.0
2022-10-28,11400.0
2022-10-29,11400.0
2022-10-30,11400.0
2022-10-31,11400.0
2022-11-01,11400.0
2022-11-02,11400.0
2022-11-03,11400.0
2022-11-04,11400.0
2022-11-05,11400.0
2022-11-06,11400.0
2022-11-07,11400.0
2022-11-08,11400.0
2022-11-09,11400.0
2022-11-10,11400.0
2022-11-11,11400.0
2022-11-12,11400.0
2022-11-13,11400.0
2022-11-14,11650.0
2022-11-15,11650.0
2022-11-16,11650.0
2022-11-17,11650.0
2022-11-18,11650.0
2022-11-19,11650.0
2022-11-20,11650.0
2022-11-21,11650.0
2022-11-22,11650.0
2022-11-23,11650.0
2022-11-24,11650.0
2022-11-25,11650.0
2022-11-26,11650.0
2022-11-27,11650.0
2022-11-28,11650.0
2022-11-29,11650.0
2022-11-30,11650.0
2022-12-01,11650.0
2022-12-02,11650.0
2022-12-03,11650.0
2022-12-04,11650.0
2022-12-05,11900.0
2022-12-06,11900.0
2022-12-07,12250.0
2022-12-08,12250.0
2022-12-09,12250.0
2022-12-10,12250.0
2022-12-11,12250.0
2022-12-12,12250.0
2022-12-13,12250.0
2022-12-14,12250.0
2022-12-15,12250.0
2022-12-16,12250.0
2022-12-17,12250.0
2022-12-18,12250.0
2022-12-19,12250.0
2022-12-20,12250.0
2022-12-21,12250.0
2022-12-22,12250.0
2022-12-23,12250.0
2022-12-24,12250.0
2022-12-25,12250.0
2022-12-26,12250.0
2022-12-27,12250.0
2022-12-28,12250.0
2022-12-29,12250.0
2022-12-30,12250.0
2022-12-31,12250.0
2023-01-01,12250.0
2023-01-02,12250.0
2023-01-03,12250.0
2023-01-04,12250.0
2023-01-05,12250.0
2023-01-06,12250.0
2023-01-07,12250.0
2023-01-08,12250.0
2023-01-09,12250.0
2023-01-10,12250.0
2023-01-11,12250.0
2023-01-12,12250.0
2023-01-13,12250.0
2023-01-14,12250.0
2023-01-15,12250.0
2023-01-16,12500.0
2023-01-17,12500.0
2023-01-18,12500.0
2023-01-19,12500.0
2023-01-20,12500.0
