Tanggal_Loop,Tanggal,Provinsi,Komoditas,Harga_Rp,Perubahan_Harga
2021-07-26,26 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-27,27 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-28,28 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-29,29 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-30,30 Jul 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-07-31,,,,,
2021-08-01,,,,,
2021-08-02,02 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-03,03 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-04,04 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-05,05 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-06,06 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-07,,,,,
2021-08-08,,,,,
2021-08-09,09 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-10,10 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-11,,,,,
2021-08-12,12 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,
2021-08-13,13 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-14,,,,,
2021-08-15,,,,,
2021-08-16,16 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-17,,,,,
2021-08-18,18 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,
2021-08-19,19 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-20,20 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-21,,,,,
2021-08-22,,,,,
2021-08-23,23 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-24,24 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-25,25 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-26,26 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-27,27 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-28,,,,,
2021-08-29,,,,,
2021-08-30,30 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-08-31,31 Agt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-01,01 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-02,02 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-03,03 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-04,,,,,
2021-09-05,,,,,
2021-09-06,06 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-07,07 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-08,08 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-09,09 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-10,10 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-11,,,,,
2021-09-12,,,,,
2021-09-13,13 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-14,14 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-15,15 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-16,16 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-17,17 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-18,,,,,
2021-09-19,,,,,
2021-09-20,20 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-21,21 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-22,22 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-23,23 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-24,24 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-25,,,,,
2021-09-26,,,,,
2021-09-27,27 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,
2021-09-28,28 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-29,29 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-09-30,30 Sep 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-01,01 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-02,,,,,
2021-10-03,,,,,
2021-10-04,04 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-05,05 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-06,06 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-07,07 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-08,08 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-09,,,,,
2021-10-10,,,,,
2021-10-11,11 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-12,12 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-13,13 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-14,14 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-15,15 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10750.0,Rp0
2021-10-16,,,,,
2021-10-17,,,,,
2021-10-18,18 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp150
2021-10-19,19 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-10-20,,,,,
2021-10-21,21 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,
2021-10-22,22 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
2021-10-23,,,,,
2021-10-24,,,,,
2021-10-25,25 Okt 21,DI Yogyakarta,Beras Kualitas Medium II,10900.0,Rp0
